key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,8.073,1,0,0,0,0,1,0,1.jpg,4,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
3,0,2.201,1,0,1,1,1,1,1,2.jpg,5,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
1,1,2.795,2,0,2,2,2,1,2,3.jpg,1,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
2,1,3.064,3,0,3,3,3,1,3,4.jpg,2,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
4,0,5.81,3,0,4,4,4,1,4,5.jpg,6,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
3,1,3.216,4,0,5,5,5,1,5,6.jpg,3,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
4,0,4.645,4,0,6,6,6,1,6,7.jpg,6,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
2,1,7.448,5,0,7,7,7,1,7,8.jpg,2,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
1,1,3.467,6,0,8,8,8,1,8,9.jpg,1,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
3,1,7.717,7,0,9,9,9,1,9,10.jpg,3,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
5,1,15.733,8,0,10,10,10,1,10,11.jpg,5,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
4,1,9.81,9,0,11,11,11,1,11,12.jpg,4,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
2,1,4.114,10,0,12,12,12,1,12,13.jpg,2,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
6,1,6.514,11,0,13,13,13,1,13,14.jpg,6,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
1,1,3.124,12,0,14,14,14,1,14,15.jpg,1,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
2,1,3.636,13,0,15,15,15,1,15,16.jpg,2,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
1,1,5.235,14,0,16,16,16,1,16,17.jpg,1,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
3,1,4.14,15,0,17,17,17,1,17,18.jpg,3,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
5,1,5.134,16,0,18,18,18,1,18,19.jpg,5,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
6,1,4.533,17,0,19,19,19,1,19,20.jpg,6,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
4,1,4.202,18,0,20,20,20,1,20,21.jpg,4,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
3,1,4.764,19,0,21,21,21,1,21,22.jpg,3,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
4,1,5.169,20,0,22,22,22,1,22,23.jpg,4,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
5,1,41.659,21,0,23,23,23,1,23,24.jpg,5,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
6,0,6.639,21,0,24,24,24,1,24,25.jpg,8,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
2,1,13.725,22,0,25,25,25,1,25,26.jpg,2,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
3,1,12.978,23,0,26,26,26,1,26,27.jpg,3,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
8,1,10.049,24,0,27,27,27,1,27,28.jpg,8,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
7,1,10.132,25,0,28,28,28,1,28,29.jpg,7,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
4,1,14.93,26,0,29,29,29,1,29,30.jpg,4,32,001,2021-06-11_12h25.40.285,Ravens Progressive Matrices,2021.1.1,Win32,60.0240096
