key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,25.174025,1,0,0,0,0,1,0,1.jpg,4,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
5,1,5.72804,2,0,1,1,1,1,1,2.jpg,5,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
1,1,4.7473,3,0,2,2,2,1,2,3.jpg,1,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
2,1,4.16754,4,0,3,3,3,1,3,4.jpg,2,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
6,1,13.249965,5,0,4,4,4,1,4,5.jpg,6,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
3,1,6.90649,6,0,5,5,5,1,5,6.jpg,3,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
6,1,7.10207,7,0,6,6,6,1,6,7.jpg,6,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
2,1,6.9687,8,0,7,7,7,1,7,8.jpg,2,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
1,1,6.13317,9,0,8,8,8,1,8,9.jpg,1,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
3,1,9.57911,10,0,9,9,9,1,9,10.jpg,3,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
5,1,14.312755,11,0,10,10,10,1,10,11.jpg,5,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
4,1,12.170055,12,0,11,11,11,1,11,12.jpg,4,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
2,1,5.967075,13,0,12,12,12,1,12,13.jpg,2,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
6,1,6.461795,14,0,13,13,13,1,13,14.jpg,6,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
1,1,4.81285,15,0,14,14,14,1,14,15.jpg,1,34,001,2021-06-03_18h03.45.051,Ravens Progressive Matrices,2021.1.1,Win32,119.9616123
