key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,10.195,1,0,0,0,0,1,0,1.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,2.44,2,0,1,1,1,1,1,2.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,5.123,3,0,2,2,2,1,2,3.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,4.067,4,0,3,3,3,1,3,4.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,8.095,5,0,4,4,4,1,4,5.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,5.43,6,0,5,5,5,1,5,6.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,4.733,7,0,6,6,6,1,6,7.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,4.285,8,0,7,7,7,1,7,8.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,2.145,9,0,8,8,8,1,8,9.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,6.529,10,0,9,9,9,1,9,10.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,38.674,11,0,10,10,10,1,10,11.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
4,1,8.329,12,0,11,11,11,1,11,12.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,2.598,13,0,12,12,12,1,12,13.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,7.35,14,0,13,13,13,1,13,14.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,4.61,15,0,14,14,14,1,14,15.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,4.845,16,0,15,15,15,1,15,16.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,6.348,17,0,16,16,16,1,16,17.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,10.189,18,0,17,17,17,1,17,18.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,11.534,19,0,18,18,18,1,18,19.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,6.739,20,0,19,19,19,1,19,20.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
4,1,7.933,21,0,20,20,20,1,20,21.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,4.522,22,0,21,21,21,1,21,22.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
4,1,4.487,23,0,22,22,22,1,22,23.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,20.352,24,0,23,23,23,1,23,24.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
8,1,13.195,25,0,24,24,24,1,24,25.jpg,8,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,14.732,26,0,25,25,25,1,25,26.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,10.689,27,0,26,26,26,1,26,27.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
8,1,21.357,28,0,27,27,27,1,27,28.jpg,8,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
7,1,13.72,29,0,28,28,28,1,28,29.jpg,7,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
4,1,9.357,30,0,29,29,29,1,29,30.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,9.754,31,0,30,30,30,1,30,31.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,11.86,32,0,31,31,31,1,31,32.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
7,1,22.482,33,0,32,32,32,1,32,33.jpg,7,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,54.927,34,0,33,33,33,1,33,34.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,0,84.256,34,0,34,34,34,1,34,35.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,0,110.339,34,0,35,35,35,1,35,36.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,8.317,35,0,36,36,36,1,36,37.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
4,1,13.573,36,0,37,37,37,1,37,38.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,20.854,37,0,38,38,38,1,38,39.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
7,1,11.259,38,0,39,39,39,1,39,40.jpg,7,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
8,1,19.757,39,0,40,40,40,1,40,41.jpg,8,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,24.581,40,0,41,41,41,1,41,42.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,26.506,41,0,42,42,42,1,42,43.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
4,1,38.742,42,0,43,43,43,1,43,44.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,0,27.158,42,0,44,44,44,1,44,45.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,30.487,43,0,45,45,45,1,45,46.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,94.162,44,0,46,46,46,1,46,47.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
8,0,48.371,44,0,47,47,47,1,47,48.jpg,7,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
7,1,12.527,45,0,48,48,48,1,48,49.jpg,7,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,23.384,46,0,49,49,49,1,49,50.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
8,1,17.519,47,0,50,50,50,1,50,51.jpg,8,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,1,35.019,48,0,51,51,51,1,51,52.jpg,2,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,27.016,49,0,52,52,52,1,52,53.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
5,1,19.58,50,0,53,53,53,1,53,54.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
2,0,116.518,50,0,54,54,54,1,54,55.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,0,142.816,50,0,55,55,55,1,55,56.jpg,4,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,1,10.7,51,0,56,56,56,1,56,57.jpg,1,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
6,1,44.096,52,0,57,57,57,1,57,58.jpg,6,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
3,1,110.481,53,0,58,58,58,1,58,59.jpg,3,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
1,0,117.847,53,0,59,59,59,1,59,60.jpg,5,15,001,2021-06-06_10h39.21.118,Ravens Progressive Matrices,2021.1.1,MacIntel,62.5
