key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,7.473,1,0,0,0,0,1,0,1.jpg,4,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
3,0,2.917,1,0,1,1,1,1,1,2.jpg,5,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
1,1,1.818,2,0,2,2,2,1,2,3.jpg,1,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
2,1,1.736,3,0,3,3,3,1,3,4.jpg,2,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
2,0,1.192,3,0,4,4,4,1,4,5.jpg,6,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
3,1,2.085,4,0,5,5,5,1,5,6.jpg,3,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
4,0,5.181,4,0,6,6,6,1,6,7.jpg,6,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
1,0,5.588,4,0,7,7,7,1,7,8.jpg,2,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
1,1,1.57,5,0,8,8,8,1,8,9.jpg,1,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
3,1,9.344,6,0,9,9,9,1,9,10.jpg,3,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
3,0,2.154,6,0,10,10,10,1,10,11.jpg,5,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
3,0,0.359,6,0,11,11,11,1,11,12.jpg,4,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
3,0,0.288,6,0,12,12,12,1,12,13.jpg,2,1,001,2021-10-14_09h39.21.381,Ravens Progressive Matrices,2021.1.1,MacIntel,58.82352941
