key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,7.2782,1,0,0,0,0,1,0,1.jpg,4,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
5,1,3.7326,2,0,1,1,1,1,1,2.jpg,5,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
1,1,4.1248,3,0,2,2,2,1,2,3.jpg,1,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
2,1,6.5994,4,0,3,3,3,1,3,4.jpg,2,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,1,7.6715,5,0,4,4,4,1,4,5.jpg,6,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
3,1,4.9231,6,0,5,5,5,1,5,6.jpg,3,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,1,5.0587,7,0,6,6,6,1,6,7.jpg,6,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
2,1,15.2916,8,0,7,7,7,1,7,8.jpg,2,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
1,1,6.5526,9,0,8,8,8,1,8,9.jpg,1,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
3,1,9.093,10,0,9,9,9,1,9,10.jpg,3,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,0,15.3922,10,0,10,10,10,1,10,11.jpg,5,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
4,1,10.0714,11,0,11,11,11,1,11,12.jpg,4,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
2,1,6.3303,12,0,12,12,12,1,12,13.jpg,2,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,1,16.8131,13,0,13,13,13,1,13,14.jpg,6,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
1,1,5.1503,14,0,14,14,14,1,14,15.jpg,1,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
2,1,6.0241,15,0,15,15,15,1,15,16.jpg,2,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
1,1,5.1687,16,0,16,16,16,1,16,17.jpg,1,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
3,1,9.6323,17,0,17,17,17,1,17,18.jpg,3,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,0,9.095,17,0,18,18,18,1,18,19.jpg,5,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,1,6.5151,18,0,19,19,19,1,19,20.jpg,6,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
4,1,6.4461,19,0,20,20,20,1,20,21.jpg,4,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
3,1,7.8084,20,0,21,21,21,1,21,22.jpg,3,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
4,1,10.2802,21,0,22,22,22,1,22,23.jpg,4,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
5,1,11.1149,22,0,23,23,23,1,23,24.jpg,5,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,0,12.3583,22,0,24,24,24,1,24,25.jpg,8,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
2,1,13.581,23,0,25,25,25,1,25,26.jpg,2,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
3,1,11.2448,24,0,26,26,26,1,26,27.jpg,3,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
6,0,48.0833,24,0,27,27,27,1,27,28.jpg,8,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
7,1,29.1138,25,0,28,28,28,1,28,29.jpg,7,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
4,1,23.27,26,0,29,29,29,1,29,30.jpg,4,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
5,1,16.0753,27,0,30,30,30,1,30,31.jpg,5,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
1,1,22.3614,28,0,31,31,31,1,31,32.jpg,1,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
7,1,13.194,29,0,32,32,32,1,32,33.jpg,7,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
8,0,24.6367,29,0,33,33,33,1,33,34.jpg,6,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
5,0,41.4524,29,0,34,34,34,1,34,35.jpg,1,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
3,0,18.2567,29,0,35,35,35,1,35,36.jpg,2,1,001,2021-06-02_10h31.16.696,Ravens Progressive Matrices,2021.1.1,Win32,60.55834797
