key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,34.125585,1,0,0,0,0,1,0,1.jpg,4,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
5,1,4.568075,2,0,1,1,1,1,1,2.jpg,5,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
1,1,4.56418,3,0,2,2,2,1,2,3.jpg,1,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
2,1,3.555965,4,0,3,3,3,1,3,4.jpg,2,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
6,1,5.029805,5,0,4,4,4,1,4,5.jpg,6,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
3,1,4.06526,6,0,5,5,5,1,5,6.jpg,3,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
6,1,5.59224,7,0,6,6,6,1,6,7.jpg,6,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
2,1,5.03858,8,0,7,7,7,1,7,8.jpg,2,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
1,1,7.13505,9,0,8,8,8,1,8,9.jpg,1,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
3,1,11.0554,10,0,9,9,9,1,9,10.jpg,3,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
1,0,9.021055,10,0,10,10,10,1,10,11.jpg,5,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
4,1,10.89002,11,0,11,11,11,1,11,12.jpg,4,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
2,1,3.976835,12,0,12,12,12,1,12,13.jpg,2,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
6,1,8.233935,13,0,13,13,13,1,13,14.jpg,6,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
1,1,3.78025,14,0,14,14,14,1,14,15.jpg,1,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
2,1,3.94185,15,0,15,15,15,1,15,16.jpg,2,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
1,1,4.14362,16,0,16,16,16,1,16,17.jpg,1,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
3,1,6.291255,17,0,17,17,17,1,17,18.jpg,3,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
5,1,5.087735,18,0,18,18,18,1,18,19.jpg,5,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
6,1,5.41916,19,0,19,19,19,1,19,20.jpg,6,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
4,1,4.469145,20,0,20,20,20,1,20,21.jpg,4,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
3,1,5.317165,21,0,21,21,21,1,21,22.jpg,3,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
2,0,6.21494,21,0,22,22,22,1,22,23.jpg,4,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
5,1,27.83455,22,0,23,23,23,1,23,24.jpg,5,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
8,1,10.12031,23,0,24,24,24,1,24,25.jpg,8,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
2,1,15.400225,24,0,25,25,25,1,25,26.jpg,2,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
3,1,9.86814,25,0,26,26,26,1,26,27.jpg,3,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
8,1,20.0592,26,0,27,27,27,1,27,28.jpg,8,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
7,1,13.011065,27,0,28,28,28,1,28,29.jpg,7,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
4,1,14.309855,28,0,29,29,29,1,29,30.jpg,4,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
5,1,11.060235,29,0,30,30,30,1,30,31.jpg,5,30,001,2021-06-02_08h43.22.937,Ravens Progressive Matrices,2021.1.1,Win32,60.04202942
