key_resp.keys,key_resp.corr,key_resp.rt,totalScore,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,index,image_file,correct,participant,session,date,expName,psychopyVersion,OS,frameRate
4,1,8.537,1,0,0,0,0,1,0,1.jpg,4,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
3,0,2.9729,1,0,1,1,1,1,1,2.jpg,5,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
1,1,3.9535,2,0,2,2,2,1,2,3.jpg,1,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
2,1,4.408,3,0,3,3,3,1,3,4.jpg,2,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
6,1,7.3347,4,0,4,4,4,1,4,5.jpg,6,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
3,1,3.7088,5,0,5,5,5,1,5,6.jpg,3,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
6,1,9.3122,6,0,6,6,6,1,6,7.jpg,6,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
2,1,8.9451,7,0,7,7,7,1,7,8.jpg,2,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
1,1,11.4617,8,0,8,8,8,1,8,9.jpg,1,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
3,1,9.1452,9,0,9,9,9,1,9,10.jpg,3,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
4,0,13.0976,9,0,10,10,10,1,10,11.jpg,5,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
4,1,10.611,10,0,11,11,11,1,11,12.jpg,4,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
2,1,2.8528,11,0,12,12,12,1,12,13.jpg,2,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
6,1,5.7363,12,0,13,13,13,1,13,14.jpg,6,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
1,1,3.3186,13,0,14,14,14,1,14,15.jpg,1,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
2,1,6.8909,14,0,15,15,15,1,15,16.jpg,2,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
1,1,4.2651,15,0,16,16,16,1,16,17.jpg,1,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
3,1,5.2006,16,0,17,17,17,1,17,18.jpg,3,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
5,1,16.7791,17,0,18,18,18,1,18,19.jpg,5,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
6,1,3.9065,18,0,19,19,19,1,19,20.jpg,6,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
4,1,11.0883,19,0,20,20,20,1,20,21.jpg,4,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
3,1,4.2892,20,0,21,21,21,1,21,22.jpg,3,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
2,0,4.1699,20,0,22,22,22,1,22,23.jpg,4,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
5,1,11.4026,21,0,23,23,23,1,23,24.jpg,5,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
6,0,8.3416,21,0,24,24,24,1,24,25.jpg,8,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
2,1,9.2204,22,0,25,25,25,1,25,26.jpg,2,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
3,1,4.5811,23,0,26,26,26,1,26,27.jpg,3,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
8,1,6.1824,24,0,27,27,27,1,27,28.jpg,8,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
7,1,7.8053,25,0,28,28,28,1,28,29.jpg,7,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
4,1,6.0361,26,0,29,29,29,1,29,30.jpg,4,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
8,0,7.2441,26,0,30,30,30,1,30,31.jpg,5,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
1,1,9.2605,27,0,31,31,31,1,31,32.jpg,1,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
1,0,16.7865,27,0,32,32,32,1,32,33.jpg,7,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
8,0,28.4581,27,0,33,33,33,1,33,34.jpg,6,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
7,0,28.3347,27,0,34,34,34,1,34,35.jpg,1,82,001,2021-07-19_18h44.48.890,Ravens Progressive Matrices,2021.1.1,Win32,59.94485074
